ID,location,height,facing,truth_x_mm,truth_y_vertical_mm,truth_z_mm,d3_std_mm,err_vertical_mm,err_3d_mm,gdop,hdop,vdop,gdop_vicon_layout,hdop_vicon_layout,vdop_vicon_layout
ID01,edge,low,ABEF,-542.215344349341,182.54280058407932,-383.3240609304319,60.0359164318706,119.24147163042042,136.79925466097734,1.1301924999663182,0.8197449592851563,0.7780445287428565,1.1324253951913785,0.8167107792780888,0.7844557213032018
ID02,edge,mid,ABEF,-543.22998,1105.589,-259.92136,58.44349840932413,52.64506462304075,61.52068379186028,1.1991697095238467,0.7898237535109259,0.9023227973565885,1.215971375747373,0.7852788895529332,0.9283983262907527
ID03,edge,high,ABEF,-554.00287,1625.56145,-256.2951,88.83113908249949,175.09205969843288,175.79960084472197,1.1475712524595914,0.8132429263479405,0.8096639563527042,1.1466591652598936,0.8140909023728222,0.8075167143460995
ID04,edge,low,BCGF,-321.178815,182.16379,479.93382,56.35770667713553,267.35153560981286,278.15743862405765,1.1135202916442033,0.8040902951949774,0.7703026918534334,1.115014956197922,0.8022929625118081,0.7743283249688598
ID05,edge,mid,BCGF,-184.9818897969324,1103.586616559577,473.7040289339493,72.86934092333543,17.46533837095467,52.68927024186138,1.1576482637429706,0.7806581440834232,0.8548230019269133,1.1773049265709894,0.7740598262688871,0.8870615962180433
ID06,edge,high,BCGF,-193.231255,1684.95255,476.52298,72.10233371501555,139.04731849567997,140.48129778544592,1.112855671655266,0.8028313137928773,0.7706553234286363,1.114104484459904,0.8026552285345201,0.7726405285770775
ID07,edge,low,CDHG,352.14755,211.565355,53.795866,85.65679919445276,159.25788638428403,163.30661804001508,1.1401236627365927,0.8192122478498501,0.7929522427641523,1.144258500123504,0.8170314941014682,0.801116129379014
ID08,edge,mid,CDHG,391.90054,1132.2804,-71.53192899999999,79.20686340221053,8.8512224990086,65.52716421543509,1.1940083448974914,0.7906541066111894,0.8947189566471189,1.2106677042164575,0.7863614005231281,0.9205172664323319
ID09,edge,high,CDHG,408.80994,1568.1853500000002,-62.4257885,78.67230135053383,2.450049093791222,33.413709890033,1.1535613457412617,0.809916981435758,0.8214245318776284,1.1555260178415383,0.8098045732366508,0.8242917754495243
ID10,edge,low,ADHE,65.499245,238.64973,-938.19342,46.82401496119348,106.16028726782824,120.57481698282616,1.1197906209476705,0.7999468500123855,0.7835917763208287,1.1232684454029784,0.7972072376395062,0.7913233351122738
ID11,edge,mid,ADHE,-63.9057945,1133.4998500000002,-956.990295,45.65476125618142,16.294970113265208,64.69982475900323,1.1607361288225377,0.7785380083004977,0.8609221395604975,1.1700855687360339,0.7751274451803011,0.8765145075197486
ID12,edge,high,ADHE,-43.6886845,1590.1300500000002,-956.35754,43.18138381706044,99.98581618993876,134.47494458467435,1.1301165230218946,0.793613267785254,0.8045752524172659,1.1272001511709564,0.7949550930142832,0.7991411520441676
ID13,center,mid,ABEF,-189.628155,1139.0976,-197.96616,77.38646296953834,67.31101513542603,73.85616270191082,1.1963953275499384,0.7853460381556818,0.9025482702528984,1.2132358879523046,0.7803433194461905,0.928980959767808
ID14,center,mid,BCGF,-198.69532,1132.6278,-194.690585,47.58811544357251,49.03738045735827,58.2445605400933,1.1967929104330362,0.785303970825469,0.9031118113880076,1.2138935097105599,0.7802531792812818,0.9299152806244627
ID15,center,mid,CDHG,-200.165335,1132.2551,-184.312585,54.32740667309155,72.70006612102839,87.33676645597416,1.1966824981199018,0.7853140630788477,0.9029567119397697,1.2138820883177548,0.7802321099960516,0.9299180495451106
ID16,center,mid,ADHE,-184.854655,1122.0572,-185.780155,63.30120403397083,7.244991666195119,12.74132764424875,1.1973090955596268,0.7850708862626045,0.9039982156247104,1.2148753635800749,0.7799229538387855,0.9314732068659853
ID17,center,low,ABEF,-180.3984,209.458655,-328.203235,71.57292833650713,40.004659358452585,42.52343478349745,1.1254116123043338,0.8099966607829643,0.7813172893453005,1.1280594957745882,0.8064333395641015,0.7887860894099925
ID18,center,low,BCGF,-295.4243,206.90585,-224.00141,41.65857889561224,23.29948080524696,56.22068162907488,1.1266134216045611,0.8116093404708522,0.7813757612058393,1.1291625849215885,0.808049398475201,0.7887105380370352
ID19,center,low,CDHG,-188.530555,205.96057,-114.135095,112.93744327773764,119.13387242904142,131.49403980534728,1.1253126083169718,0.8102894462582135,0.7808709750782802,1.1276818223135927,0.8066768945435486,0.7879966244763246
ID20,center,low,ADHE,-80.19599149999999,202.56013,-220.692665,80.5676492731219,77.43563733327096,86.64068147774732,1.125360019230326,0.8108353070974581,0.7803725249175874,1.1278368765519142,0.8074169633565268,0.7874603910003998
ID21,center,high,ABEF,-212.053465,1598.6443,-226.934745,56.10185162030345,43.29038783562828,55.63460992233736,1.1398698569869037,0.8036627555516427,0.8083498414711818,1.1386288486672942,0.8032559391512257,0.807004058995796
ID22,center,high,BCGF,-232.83767,1599.3212,-235.17408,39.523338211635,6.140211373468446,22.789969192823477,1.1401382002275464,0.803895283580453,0.8084970554400379,1.1388515263644106,0.8035454898921639,0.8070300147928268
ID23,center,high,CDHG,-230.87733,1599.6642499999998,-223.24148,77.24205223425724,81.98613135383857,102.30953139405769,1.1399962876318248,0.8039365681616901,0.8082558568836643,1.138761486418698,0.8035510982713682,0.806897363620306
ID24,center,high,ADHE,-218.202475,1599.5815,-226.071175,74.13541184431531,36.75563289219349,44.82075656840988,1.1398148068508027,0.8037888095934639,0.8081468576246862,1.1385579407914876,0.8033975457559831,0.8067630184959002
